Afghanistan,2004
Albania,2008
Antarctica,2010
Algeria,2012
American Samoa,2016
Andorra,2020
Angola,2024
Antigua and Barbuda,2028
Azerbaijan,2031
Argentina,2032
Australia,2036
Austria,2040
The Bahamas,2044
Bahrain,2048
Bangladesh,2050
Armenia,2051
Barbados,2052
Belgium,2056
Bhutan,2064
Bolivia,2068
Bosnia and Herzegovina,2070
Botswana,2072
Brazil,2076
Belize,2084
Solomon Islands,2090
Brunei Darussalam,2096
Bulgaria,2100
Burundi,2108
Belarus,2112
Cambodia,2116
Cameroon,2120
Canada,2124
Cape Verde,2132
Central African Republic,2140
Sri Lanka,2144
Chad,2148
Chile,2152
China,2156
Christmas Island,2162
Cocos (Keeling) Islands,2166
Colombia,2170
Comoros,2174
Congo,2178
Democratic Republic of the Congo,2180
Cook Islands,2184
Costa Rica,2188
Croatia,2191
Cyprus,2196
Czech Republic,2203
Benin,2204
Denmark,2208
Dominica,2212
Dominican Republic,2214
Ecuador,2218
El Salvador,2222
Equatorial Guinea,2226
Ethiopia,2231
Eritrea,2232
Estonia,2233
South Georgia and the South Sandwich Islands,2239
Fiji,2242
Finland,2246
France,2250
French Polynesia,2258
French Southern and Antarctic Lands,2260
Djibouti,2262
Gabon,2266
Georgia,2268
The Gambia,2270
Germany,2276
Ghana,2288
Kiribati,2296
Greece,2300
Grenada,2308
Guam,2316
Guatemala,2320
Guinea,2324
Guyana,2328
Haiti,2332
Heard Island and McDonald Islands,2334
Vatican City,2336
Honduras,2340
Hungary,2348
Iceland,2352
India,2356
Indonesia,2360
Iraq,2368
Ireland,2372
Israel,2376
Italy,2380
Côte d'Ivoire,2384
Jamaica,2388
Japan,2392
Kazakhstan,2398
Jordan,2400
Kenya,2404
South Korea,2410
Kuwait,2414
Kyrgyzstan,2417
Laos,2418
Lebanon,2422
Lesotho,2426
Latvia,2428
Liberia,2430
Libya,2434
Liechtenstein,2438
Lithuania,2440
Luxembourg,2442
Madagascar,2450
Malawi,2454
Malaysia,2458
Maldives,2462
Mali,2466
Malta,2470
Mauritania,2478
Mauritius,2480
Mexico,2484
Monaco,2492
Mongolia,2496
Moldova,2498
Morocco,2504
Mozambique,2508
Oman,2512
Namibia,2516
Nauru,2520
Nepal,2524
Netherlands,2528
New Caledonia,2540
Vanuatu,2548
New Zealand,2554
Nicaragua,2558
Niger,2562
Nigeria,2566
Niue,2570
Norfolk Island,2574
Norway,2578
Northern Mariana Islands,2580
United States Minor Outlying Islands,2581
Micronesia,2583
Marshall Islands,2584
Palau,2585
Pakistan,2586
Panama,2591
Papua New Guinea,2598
Paraguay,2600
Peru,2604
Philippines,2608
Pitcairn Islands,2612
Poland,2616
Portugal,2620
Guinea-Bissau,2624
Timor-Leste,2626
Qatar,2634
Romania,2642
Russia,2643
Rwanda,2646
Saint Helena,2654
Saint Kitts and Nevis,2659
Saint Lucia,2662
Saint Pierre and Miquelon,2666
Saint Vincent and the Grenadines,2670
San Marino,2674
São Tomé and Príncipe,2678
Saudi Arabia,2682
Senegal,2686
Seychelles,2690
Sierra Leone,2694
Singapore,2702
Slovakia,2703
Vietnam,2704
Slovenia,2705
Somalia,2706
South Africa,2710
Zimbabwe,2716
Spain,2724
Suriname,2740
Swaziland,2748
Sweden,2752
Switzerland,2756
Tajikistan,2762
Thailand,2764
Togo,2768
Tokelau,2772
Tonga,2776
Trinidad & Tobago,2780
United Arab Emirates,2784
Tunisia,2788
Turkey,2792
Turkmenistan,2795
Tuvalu,2798
Uganda,2800
Ukraine,2804
Macedonia (FYROM),2807
Egypt,2818
United Kingdom,2826
Tanzania,2834
United States,2840
Burkina Faso,2854
Uruguay,2858
Uzbekistan,2860
Venezuela,2862
Wallis and Futuna,2876
Samoa,2882
Yemen,2887
Serbia Montenegro,2891
Zambia,2894
